티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
000400,373945,310336320,717600455,595535398080.0,0.12,KOSPI
023530,100636,28288755,18305688400,5145724534500.0,0.36,KOSPI
020150,467363,52365463,22877418850,2563289413850.0,0.89,KOSPI
280360,38451,9204574,4010439300,960037068200.0,0.42,KOSPI
286940,44947,15129367,903434700,304100276700.0,0.3,KOSPI
004000,11195,25800000,526165000,1212600000000.0,0.04,KOSPI
004990,548797,99663776,14351041550,2606207742400.0,0.55,KOSPI
00499K,0,805603,0,19737273500.0,0.0,KOSPI
005300,36932,9278884,3877860000,974282820000.0,0.4,KOSPI
005305,0,775310,0,53108735000.0,0.0,KOSPI
011170,45521,42775419,3473252300,3263764469700.0,0.11,KOSPI
071840,0,23607712,0,158407747520.0,0.0,KOSPI
027740,0,31755614,0,31628591544.0,0.0,KOSPI
357430,0,30505307,0,21445230821.0,0.0,KOSPI
001080,0,41500000,0,195465000000.0,0.0,KOSPI
088980,1023124,478921993,11192976560,5239406603420.0,0.21,KOSPI
094800,0,92834331,0,473455088100.0,0.0,KOSPI
138040,1756903,167347273,191678117300,18257587484300.0,1.05,KOSPI
090370,0,24904689,0,26747635986.0,0.0,KOSPI
118000,0,17177736,0,22812033408.0,0.0,KOSPI
017180,240233,33953454,317107560,44818559280.0,0.71,KOSPI
009900,1434392,52470133,11819390080,432353895920.0,2.73,KOSPI
317450,18506,14600000,810562800,639480000000.0,0.13,KOSPI
012690,191466,36571255,310557852,59318575610.0,0.52,KOSPI
005360,94064,18897307,123129776,24736574863.0,0.5,KOSPI
070960,375763,48133333,930013425,119129999175.0,0.78,KOSPI
009680,0,21733094,0,219504249400.0,0.0,KOSPI
009580,491217,62368324,872892609,110828511748.0,0.79,KOSPI
009200,434543,41609310,673541650,64494430500.0,1.04,KOSPI
033920,0,28500000,0,215745000000.0,0.0,KOSPI
008420,54562,20503505,116217060,43672465650.0,0.27,KOSPI
025560,22265,5090828,830484500,189887884400.0,0.44,KOSPI
007120,0,28878608,0,35665080880.0,0.0,KOSPI
396690,0,39605940,0,57587036760.0,0.0,KOSPI
357250,0,24995105,0,45866017675.0,0.0,KOSPI
085620,832777,135180000,20111564550,3264597000000.0,0.62,KOSPI
006800,15560225,559566880,801351587500,28817694320000.0,2.78,KOSPI
00680K,0,136500000,0,1900080000000.0,0.0,KOSPI
